"item_code","feature_column","indicator_text","source_row","source_raw"
"2.4.3","indicator_2_4_3","จัดกิจกรรมและประสบการณ์ ปลูกฝังคุณธรรมให้เด็กใฝ่ดี มีวินัย ซื่อสัตย์ รู้จักสิทธิและหน้าที่รับผิดชอบของพลเมืองดี รักครอบครัว โรงเรียน ชุมชน และประเทศชาติด้วยวิธีที่เหมาะสมกับวัย และพัฒนาการ","48","(44)2.4.3 จัดกิจกรรมและประสบการณ์ ปลูกฝังคุณธรรมให้เด็กใฝ่ดี มีวินัย ซื่อสัตย์ รู้จักสิทธิและหน้าที่รับผิดชอบของพลเมืองดี รักครอบครัว โรงเรียน ชุมชน และประเทศชาติด้วยวิธีที่เหมาะสมกับวัย และพัฒนาการ"
"2.5.1","indicator_2_5_1","จัดกิจกรรมกับผู้ปกครองเพื่อเตรียมเด็กก่อนจากบ้านเข้าสู่สถานพัฒนาเด็กปฐมวัย/โรงเรียน และจัดกิจกรรมช่วงปฐมนิเทศให้เด็กค่อยปรับตัวในบรรยากาศที่เป็นมิตร","49","(45)2.5.1 จัดกิจกรรมกับผู้ปกครองเพื่อเตรียมเด็กก่อนจากบ้านเข้าสู่สถานพัฒนาเด็กปฐมวัย/โรงเรียน และจัดกิจกรรมช่วงปฐมนิเทศให้เด็กค่อยปรับตัวในบรรยากาศที่เป็นมิตร"
"2.5.2","indicator_2_5_2","จัดกิจกรรมส่งเสริมการปรับตัวก่อนเข้ารับการศึกษาในระดับที่สูงขึ้น แต่ละขั้น จนถึงการเป็นนักเรียนระดับชั้นประถมศึกษาปีที่ 1","50","(46)2.5.2 จัดกิจกรรมส่งเสริมการปรับตัวก่อนเข้ารับการศึกษาในระดับที่สูงขึ้น แต่ละขั้น จนถึงการเป็นนักเรียนระดับชั้นประถมศึกษาปีที่ 1"
"3.1.1ก","indicator_3_1_1ก","เด็กมีน้ำหนักตัวเหมาะสมกับวัยและสูงดีสมส่วน ซึ่งมีบันทึกเป็นรายบุคคล","51","(47)3.1.1 ก เด็กมีน้ำหนักตัวเหมาะสมกับวัยและสูงดีสมส่วน ซึ่งมีบันทึกเป็นรายบุคคล"
"3.2.1ก","indicator_3_2_1ก","เด็กมีพัฒนาการสมวัยโดยรวม 5 ด้าน","52","(48)3.2.1 ก เด็กมีพัฒนาการสมวัยโดยรวม 5 ด้าน"
"3.2.2ก","indicator_3_2_2ก","รายด้าน: เด็กมีพัฒนาการกล้ามเนื้อมัดใหญ่ (Gross Motor)","53","(49)3.2.2 ก รายด้าน: เด็กมีพัฒนาการกล้ามเนื้อมัดใหญ่ (Gross Motor)"
"3.2.3ก","indicator_3_2_3ก","รายด้าน: เด็กมีพัฒนาการด้านกล้ามเนื้อมัดเล็กและสติปัญญาสมวัย (Fine Motor Adaptive)","54","(50)3.2.3 ก รายด้าน: เด็กมีพัฒนาการด้านกล้ามเนื้อมัดเล็กและสติปัญญาสมวัย (Fine Motor Adaptive)"
"3.2.4ก","indicator_3_2_4ก","รายด้าน: เด็กมีพัฒนาการด้านการรับรู้และเข้าใจภาษา (Receptive Language)","55","(51)3.2.4 ก รายด้าน: เด็กมีพัฒนาการด้านการรับรู้และเข้าใจภาษา (Receptive Language)"
"3.2.5ก","indicator_3_2_5ก","รายด้าน: เด็กมีพัฒนาการการใช้ภาษาสมวัย (Expressive Language)","56","(52)3.2.5 ก รายด้าน: เด็กมีพัฒนาการการใช้ภาษาสมวัย (Expressive Language)"
"3.2.6ก","indicator_3_2_6ก","รายด้าน: เด็กมีพัฒนาการการช่วยเหลือตนเองและการเข้าสังคม (Personal Social)","57","(53)3.2.6 ก รายด้าน: เด็กมีพัฒนาการการช่วยเหลือตนเองและการเข้าสังคม (Personal Social)"
"3.1.1ข","indicator_3_1_1ข","เด็กมีน้ำหนักตัวเหมาะสมกับวัยและสูงดีสมส่วน ซึ่งมีบันทึกเป็นรายบุคคล","58","(54)3.1.1 ข เด็กมีน้ำหนักตัวเหมาะสมกับวัยและสูงดีสมส่วน ซึ่งมีบันทึกเป็นรายบุคคล"
"3.1.2ข","indicator_3_1_2ข","เด็กมีสุขนิสัยที่ดีในการดูแลสุขภาพตนเองตามวัย","59","(55)3.1.2 ข เด็กมีสุขนิสัยที่ดีในการดูแลสุขภาพตนเองตามวัย"
"3.1.3ข","indicator_3_1_3ข","เด็กมีสุขภาพช่องปากดี ไม่มีฟันผุ","60","(56)3.1.3 ข เด็กมีสุขภาพช่องปากดี ไม่มีฟันผุ"
"3.2.1ข","indicator_3_2_1ข","เด็กมีพัฒนาการสมวัยโดยรวม 5 ด้าน","61","(57)3.2.1 ข เด็กมีพัฒนาการสมวัยโดยรวม 5 ด้าน"
"3.3.1ข","indicator_3_3_1ข","เด็กมีพัฒนาการด้านการใช้กล้ามเนื้อมัดใหญ่ สามารถเคลื่อนไหว และทรงตัวได้ตามวัย","62","(58)3.3.1 ข เด็กมีพัฒนาการด้านการใช้กล้ามเนื้อมัดใหญ่ สามารถเคลื่อนไหว และทรงตัวได้ตามวัย"
"3.3.2ข","indicator_3_3_2ข","เด็กมีพัฒนาการด้านการใช้กล้ามเนื้อมัดเล็ก และการประสานงานระหว่างตากับมือตามวัย","63","(59)3.3.2 ข เด็กมีพัฒนาการด้านการใช้กล้ามเนื้อมัดเล็ก และการประสานงานระหว่างตากับมือตามวัย"
"3.4.1ข","indicator_3_4_1ข","เด็กแสดงออก ร่าเริง แจ่มใส รู้สึกมั่นคงปลอดภัย แสดงความรู้สึกที่ดีต่อตนเอง และผู้อื่นได้สมวัย","64","(60)3.4.1 ข เด็กแสดงออก ร่าเริง แจ่มใส รู้สึกมั่นคงปลอดภัย แสดงความรู้สึกที่ดีต่อตนเอง และผู้อื่นได้สมวัย"
"3.4.2ข","indicator_3_4_2ข","เด็กมีความสนใจและร่วมกิจกรรมต่างๆ อย่างสมวัย ซึ่งรวมการเล่น การทำงานศิลปะ ดนตรี กีฬา","65","(61)3.4.2 ข เด็กมีความสนใจและร่วมกิจกรรมต่างๆ อย่างสมวัย ซึ่งรวมการเล่น การทำงานศิลปะ ดนตรี กีฬา"
"3.4.3ข","indicator_3_4_3ข","เด็กสามารถอดทน รอคอย ควบคุมตนเอง ยับยั้งชั่งใจ ทำตามข้อตกลง คำนึงถึงความรู้สึกของผู้อื่น มีกาลเทศะ ปรับตัวเข้ากับสถานการณ์ใหม่ได้สมวัย","66","(62)3.4.3 ข เด็กสามารถอดทน รอคอย ควบคุมตนเอง ยับยั้งชั่งใจ ทำตามข้อตกลง คำนึงถึงความรู้สึกของผู้อื่น มีกาลเทศะ ปรับตัวเข้ากับสถานการณ์ใหม่ได้สมวัย"
"3.5.1ข","indicator_3_5_1ข","เด็กบอกเกี่ยวกับตัวเด็ก บุคคล สถานที่แวดล้อมธรรมชาติ และสิ่งต่างๆ รอบตัวเด็กได้สมวัย","67","(63)3.5.1 ข เด็กบอกเกี่ยวกับตัวเด็ก บุคคล สถานที่แวดล้อมธรรมชาติ และสิ่งต่างๆ รอบตัวเด็กได้สมวัย"
"3.5.2ข","indicator_3_5_2ข","เด็กมีพื้นฐานด้านคณิตศาสตร์ สามารถสังเกต จำแนก และเปรียบเทียบ จำนวน มิติสัมพันธ์ (พื้นที่/ระยะ) เวลา ได้สมวัย","68","(64)3.5.2 ข เด็กมีพื้นฐานด้านคณิตศาสตร์ สามารถสังเกต จำแนก และเปรียบเทียบ จำนวน มิติสัมพันธ์ (พื้นที่/ระยะ) เวลา ได้สมวัย"
"3.5.3ข","indicator_3_5_3ข","เด็กสามารถคิดอย่างมีเหตุผล แก้ปัญหาได้สมวัย","69","(65)3.5.3 ข เด็กสามารถคิดอย่างมีเหตุผล แก้ปัญหาได้สมวัย"
"3.5.4ข","indicator_3_5_4ข","เด็กมีจินตนาการ และความคิดสร้างสรรค์ ที่แสดงออกได้สมวัย","70","(66)3.5.4 ข เด็กมีจินตนาการ และความคิดสร้างสรรค์ ที่แสดงออกได้สมวัย"
"3.5.5ข","indicator_3_5_5ข","เด็กมีความพยายาม มุ่งมั่นตั้งใจ ทำกิจกรรมให้สำเร็จสมวัย","71","(67)3.5.5 ข เด็กมีความพยายาม มุ่งมั่นตั้งใจ ทำกิจกรรมให้สำเร็จสมวัย"
"3.6.1ข","indicator_3_6_1ข","เด็กสามารถฟัง พูด จับใจความ เล่า สนทนา และสื่อสารได้สมวัย","72","(68)3.6.1 ข เด็กสามารถฟัง พูด จับใจความ เล่า สนทนา และสื่อสารได้สมวัย"
"3.6.2ข","indicator_3_6_2ข","เด็กมีทักษะในการดูรูปภาพ สัญลักษณ์ การใช้หนังสือ รู้จักตัวอักษร การคิดเขียนคำ และการอ่านเบื้องต้นได้สมวัยและตามลำดับพัฒนาการ","73","(69)3.6.2 ข เด็กมีทักษะในการดูรูปภาพ สัญลักษณ์ การใช้หนังสือ รู้จักตัวอักษร การคิดเขียนคำ และการอ่านเบื้องต้นได้สมวัยและตามลำดับพัฒนาการ"
"3.6.3ข","indicator_3_6_3ข","เด็กมีทักษะการวาด การขีดเขียนตามลำดับขั้นตอนพัฒนาการสมวัย นำไปสู่การขีดเขียนคำที่คุ้นเคยและสนใจ","74","(70)3.6.3 ข เด็กมีทักษะการวาด การขีดเขียนตามลำดับขั้นตอนพัฒนาการสมวัย นำไปสู่การขีดเขียนคำที่คุ้นเคยและสนใจ"
"3.6.4ข","indicator_3_6_4ข","เด็กมีทักษะในการสื่อสารอย่างเหมาะสมตามวัย โดยใช้ภาษาไทยเป็นภาษาหลัก และมีความคุ้นเคยกับภาษาอื่นด้วย","75","(71)3.6.4 ข เด็กมีทักษะในการสื่อสารอย่างเหมาะสมตามวัย โดยใช้ภาษาไทยเป็นภาษาหลัก และมีความคุ้นเคยกับภาษาอื่นด้วย"
"3.7.1ข","indicator_3_7_1ข","เด็กมีปฏิสัมพันธ์กับผู้อื่นได้อย่างสมวัย และแสดงออกถึงการยอมรับความแตกต่างระหว่างบุคคล","76","(72)3.7.1 ข เด็กมีปฏิสัมพันธ์กับผู้อื่นได้อย่างสมวัย และแสดงออกถึงการยอมรับความแตกต่างระหว่างบุคคล"
"3.7.2ข","indicator_3_7_2ข","เด็กมีความเมตตา กรุณา มีวินัย ซื่อสัตย์ รับผิดชอบต่อตนเองและส่วนรวม และมีค่านิยมที่พึงประสงค์สมวัย","77","(73)3.7.2 ข เด็กมีความเมตตา กรุณา มีวินัย ซื่อสัตย์ รับผิดชอบต่อตนเองและส่วนรวม และมีค่านิยมที่พึงประสงค์สมวัย"
"3.7.3ข","indicator_3_7_3ข","เด็กสามารถเล่นและทำงานร่วมกับผู้อื่นเป็นกลุ่ม เป็นได้ทั้งผู้นำ และผู้ตาม แก้ไขข้อขัดแย้งอย่างสร้างสรรค์","78","(74)3.7.3 ข เด็กสามารถเล่นและทำงานร่วมกับผู้อื่นเป็นกลุ่ม เป็นได้ทั้งผู้นำ และผู้ตาม แก้ไขข้อขัดแย้งอย่างสร้างสรรค์"
"3.7.4ข","indicator_3_7_4ข","เด็กภาคภูมิในที่เป็นสมาชิกที่ดีในครอบครัว ชุมชน สถานพัฒนาเด็กปฐมวัย และตระหนักถึงความเป็นพลเมืองดีของประเทศไทย และภูมิภาคอาเซียน","79","(75)3.7.4 ข เด็กภาคภูมิในที่เป็นสมาชิกที่ดีในครอบครัว ชุมชน สถานพัฒนาเด็กปฐมวัย และตระหนักถึงความเป็นพลเมืองดีของประเทศไทย และภูมิภาคอาเซียน"
